LongerDesign-lesstriangles2-rearleft
30m/s T6/1-Quads-ThickSurf-ForceSum-REAR_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
         -8            0            0     -0.32603     0.027993    0.0067561     0.021237    -0.009916      0.36863    -0.032172       0.4008     -0.14178    -0.005429   -0.0031163   -0.0023127      -11.647      -6.6501           -1       964.71      -450.44       -14810       964.71      -450.44       -14810            0            0            0        29.89      -1.1367           30      -4.9075       3220.2       3516.5       123.31      0.90249     -0.24777   -0.0012124            0      -3278.4     0.064271      0.64523     -0.29424            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -7            0            0     -0.27321     0.023259    0.0065553     0.016704   -0.0085836      0.30269    -0.031216       0.3339     -0.11829   -0.0040783   -0.0030079   -0.0010704      -11.746      -6.1397           -1       758.78      -389.92       -12411       758.78      -389.92       -12411            0            0            0       29.892      -1.2312           30      -4.8661       2686.6       2887.5        92.63      0.89719     -0.24782   -0.0052361            0        -3551     0.050555      0.57607     -0.24512            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -6            0            0     -0.22017     0.019222    0.0063754     0.012847   -0.0074744      0.23307    -0.030359      0.26343    -0.094262    -0.002909   -0.0029117   2.7016e-06      -11.454      -5.3744           -1       583.58      -339.53       -10001       583.58      -339.53       -10001            0            0            0       29.886      -1.4065           30      -4.9897         2141       2223.4       66.071      0.88918     -0.24792    -0.010478            0      -4056.6     0.038874      0.48643     -0.19577            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -5            0            0     -0.16693     0.015888    0.0062129    0.0096749    -0.006589      0.15979    -0.029585      0.18937    -0.069703   -0.0019199   -0.0028244   0.00090451      -10.507      -4.2928           -1       439.49      -299.31      -7582.9       439.49      -299.31      -7582.9            0            0            0       29.865      -1.7609           30      -5.4368       1583.1       1524.3       43.607      0.87589      -0.2481    -0.018108            0      -5078.7     0.029255       0.3713     -0.14621            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -4            0            0     -0.11351      0.01326    0.0060682    0.0071919   -0.0059289     0.082845    -0.028896      0.11174    -0.044615   -0.0011132   -0.0027473    0.0016341      -8.5604      -2.8842           -1        326.7      -269.33      -5156.4        326.7      -269.33      -5156.4            0            0            0       29.797       -2.621           30      -6.6629       1013.3       790.29       25.283      0.84987      -0.2485    -0.031505            0      -7559.2     0.021698      0.23097    -0.096471            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -3            0            0     -0.05997     0.011347    0.0059371    0.0054096   -0.0054939    0.0023065    -0.028272     0.030578    -0.019025  -0.00049245   -0.0026783    0.0021858      -5.2852      -1.2943           -1       245.73      -249.57      -2724.2       245.73      -249.57      -2724.2            0            0            0       29.477      -5.8405           30      -10.714       432.11       22.002       11.185      0.77706     -0.24964    -0.066131            0       -16845     0.016145     0.085705      -0.0466            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -2            0            0   -0.0063249     0.010153     0.005821    0.0043318   -0.0052845    -0.081815    -0.027719    -0.054096    0.0070594  -5.8092e-05   -0.0026172    0.0025591     -0.62297    -0.049545           -1       196.78      -240.05      -287.31       196.78      -240.05      -287.31            0            0            0       15.863      -152.57           30      -58.078      -160.34      -780.46       1.3194     -0.53313     -0.27071     -0.66253            0  -4.4005e+05    0.0069574    0.0011905     0.003372            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -1            0            0     0.047422    0.0096798    0.0057205    0.0039594   -0.0053018     -0.16954     -0.02724      -0.1423     0.033648   0.00018883   -0.0025649    0.0027538       4.8991       1.0669       4.5921       179.86      -240.84       2154.2       179.86      -240.84       2154.2            0            0            0       29.394       7.0855           30       11.537      -764.25      -1617.3      -4.2889        1.127     -0.24403     0.089612            0        20436     0.011784     0.073223     0.053444            0            0            0            0            0            0            0            0            0          294         0.58            1  
          0            0            0       0.1012    0.0099339     0.005634    0.0042999   -0.0055448     -0.26076    -0.026829     -0.23393     0.060703   0.00024525   -0.0025207     0.002766       10.187       3.2408       3.1435       195.33      -251.88       4597.1       195.33      -251.88       4597.1            0            0            0       29.857       2.3325           30       5.6062      -1378.7      -2487.5      -5.5703       1.0231     -0.24568     0.040934            0       6727.2     0.012999      0.30705      0.10354            0            0            0            0            0            0            0            0            0          294         0.58            1  
          1            0            0      0.15501     0.010909    0.0055558    0.0053535   -0.0060144     -0.35546    -0.026456       -0.329     0.088231   0.00011572   -0.0024805    0.0025962       14.209       5.5944       2.5399       243.19      -273.21       7041.6       243.19      -273.21       7041.6            0            0            0       29.926       1.3512           30       4.0257        -2004      -3390.9      -2.6283       0.9913      -0.2462     0.024962            0       3897.1     0.016221      0.57864      0.15366            0            0            0            0            0            0            0            0            0          294         0.58            1  
          2            0            0       0.2088     0.012587    0.0054625     0.007124   -0.0067091     -0.45344    -0.026012     -0.42743       0.1162  -0.00018781   -0.0024288    0.0022409       16.589       7.5802       2.1885       323.62      -304.77       9484.8       323.62      -304.77       9484.8            0            0            0       29.946      0.99724           30       3.4497      -2639.3      -4325.6       4.2657      0.97582     -0.24645     0.016429            0       2876.2       0.0216      0.78891      0.20375            0            0            0            0            0            0            0            0            0          294         0.58            1  
          3            0            0      0.26253     0.014959    0.0053485    0.0096104   -0.0076291     -0.55464    -0.025469     -0.52917      0.14461  -0.00066397   -0.0023651    0.0017011        17.55       8.9924       1.9517       436.56      -346.56        11926       436.56      -346.56        11926            0            0            0       29.951      0.84062           30       3.2611      -3284.5      -5290.9       15.081      0.96661     -0.24661     0.010764            0       2424.5     0.029144      0.92455      0.25377            0            0            0            0            0            0            0            0            0          294         0.58            1  
          4            0            0      0.31619     0.018068    0.0052557     0.012812   -0.0087736     -0.65921    -0.025027     -0.63418      0.17344   -0.0013418   -0.0023178   0.00097597         17.5       9.8406       1.7784          582      -398.55        14363          582      -398.55        14363            0            0            0       29.951      0.76817           30       3.2704      -3939.3      -6288.4       30.477      0.96047     -0.24672     0.006506            0       2215.5     0.038854        1.006       0.3037            0            0            0            0            0            0            0            0            0          294         0.58            1  
          5            0            0      0.36974     0.021919    0.0051901     0.016729    -0.010141     -0.76711    -0.024715     -0.74239      0.20267   -0.0022237   -0.0022882   6.4441e-05       16.868       10.257       1.6446       759.93      -460.68        16796       759.93      -460.68        16796            0            0            0       29.947      0.73697           30       3.3926      -4603.3      -7317.8       50.508      0.95605     -0.24681    0.0030435            0       2125.5     0.050725       1.0535      0.35349            0            0            0            0            0            0            0            0            0          294         0.58            1  
          6            0            0      0.42317      0.02652    0.0051608     0.021359    -0.011732     -0.87837    -0.024575     -0.85379      0.23231   -0.0033148   -0.0022803   -0.0010344       15.957        10.38       1.5372       970.26      -532.93        19223       970.26      -532.93        19223            0            0            0       29.941      0.72825           30        3.586      -5276.5      -8379.1       75.288      0.95268     -0.24689   7.5085e-05            0       2100.4     0.064751       1.0808      0.40314            0            0            0            0            0            0            0            0            0          294         0.58            1  
          7            0            0      0.47643     0.031899    0.0051996     0.026699    -0.013543     -0.99304     -0.02476     -0.96828      0.26233   -0.0046325   -0.0023126   -0.0023199       14.936       10.309       1.4488       1212.8      -615.22        21642       1212.8      -615.22        21642            0            0            0       29.933      0.73326           30       3.8305      -5958.4      -9473.1       105.22      0.94999     -0.24697   -0.0025639            0       2114.8     0.080918        1.096       0.4526            0            0            0            0            0            0            0            0            0          294         0.58            1  
          8            0            0      0.52947     0.038074    0.0053304     0.032744    -0.015574      -1.1111    -0.025383      -1.0858      0.29271   -0.0061901   -0.0023991    -0.003791       13.906       10.119       1.3743       1487.4      -707.47        24052       1487.4      -707.47        24052            0            0            0       29.923      0.74704           30        4.113      -6648.2       -10600        140.6      0.94777     -0.24704   -0.0049709            0       2154.6     0.099203       1.1037      0.50181            0            0            0            0            0            0            0            0            0          294         0.58            1  
