LongerDesign-lesstriangles2-front
25m/s T6/1-Quads-ThickSurf-ForceSum-FRONT_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
         -9            0            0     -0.43266      0.03077    0.0079188     0.022851     -0.00691      -1.7489    -0.052097      -1.6968      -0.2007    -0.021716   -0.0038157      -0.0179      -14.061      -9.2491           -1       533.96      -161.47       -10110       533.96      -161.47       -10110            0            0            0       24.937     -0.94961           25      -4.0679       2344.9      -6211.6       253.72     0.036017     -0.24788    8.763e-05            0      -2738.8     0.042737      0.78229    -0.015583            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -8            0            0     -0.37114     0.025457    0.0075472      0.01791   -0.0061072      -1.5007    -0.049653       -1.451     -0.17183     -0.01829   -0.0036208    -0.014669      -14.579      -8.8818           -1       418.51      -142.71      -8672.6       418.51      -142.71      -8672.6            0            0            0       24.941     -0.98889           25      -3.9239       2007.5      -5330.2       213.69      0.03345      -0.2479   -0.0020053            0      -2852.1     0.033503      0.73444    -0.012415            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -7            0            0     -0.30942      0.02089    0.0072261     0.013663   -0.0054186      -1.2567     -0.04754      -1.2092     -0.14263    -0.015347   -0.0034533    -0.011894      -14.812      -8.2393           -1       319.28      -126.62      -7230.3       319.28      -126.62      -7230.3            0            0            0       24.943       -1.066           25      -3.8623       1666.5      -4463.6       179.31     0.029761     -0.24796   -0.0046045            0      -3074.5     0.025561      0.66912   -0.0092086            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -6            0            0     -0.24752     0.017057    0.0069397     0.010117    -0.004845       -1.017    -0.045656     -0.97131     -0.11313    -0.012883   -0.0033045    -0.009578      -14.511      -7.2196           -1        236.4      -113.21      -5783.8        236.4      -113.21      -5783.8            0            0            0       24.941      -1.2166           25      -3.9421       1321.8      -3612.1       150.51     0.024118     -0.24805   -0.0080878            0      -3508.7     0.018924      0.57827   -0.0059697            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -5            0            0     -0.18546     0.013957    0.0066808    0.0072758   -0.0043869     -0.78151    -0.043953     -0.73756    -0.083335    -0.010895   -0.0031708    -0.007724      -13.289      -5.7228           -1       170.02      -102.51      -4333.7       170.02      -102.51      -4333.7            0            0            0        24.93      -1.5348           25      -4.3036       973.66      -2775.8       127.29     0.014577     -0.24824    -0.013341            0      -4426.5     0.013604      0.45144   -0.0027035            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -4            0            0     -0.12329     0.011594    0.0064493    0.0051447   -0.0040445     -0.55048     -0.04243     -0.50805    -0.053254   -0.0093841   -0.0030501    -0.006334      -10.634      -3.7337           -1       120.22      -94.509      -2880.8       120.22      -94.509      -2880.8            0            0            0        24.89      -2.3524           25      -5.3724        622.2      -1955.2       109.64   -0.0047441     -0.24865    -0.023041            0      -6784.6     0.009604      0.28212   0.00058488            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -3            0            0    -0.061013    0.0099731    0.0062456    0.0037275   -0.0038183       -0.324     -0.04109     -0.28291    -0.022899    -0.008355    -0.002945     -0.00541      -6.1177      -1.5111           -1       87.101      -89.224      -1425.7       87.101      -89.224      -1425.7            0            0            0       24.673      -5.8122           25      -9.2834       267.54      -1150.8       97.616    -0.063757     -0.24994    -0.050811            0       -16763    0.0068975     0.095367      0.00389            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -2            0            0    0.0013273    0.0090967    0.0060693    0.0030274   -0.0037085     -0.10219    -0.039929     -0.06226    0.0077193   -0.0078083   -0.0028549   -0.0049534      0.14591    0.0053156       27.449       70.741      -86.658       31.014       70.741      -86.658       31.014            0            0            0       3.6094       1652.3           25       81.699      -90.189      -362.96       91.229       5.4296     -0.12909       2.4501            0   4.7655e+06   0.00081953   5.5567e-05    0.0072065            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -1            0            0     0.063707    0.0089666    0.0059199    0.0030467   -0.0037152      0.11485    -0.038947       0.1538     0.038588   -0.0077442   -0.0027788   -0.0049654       7.1049       1.7933       3.9619       71.192      -86.814       1488.6       71.192      -86.814       1488.6            0            0            0       24.756       4.8977           25       8.0116      -450.85       407.92        90.48      0.16527     -0.24489     0.051727            0        14126    0.0056567      0.12721     0.010529            0            0            0            0            0            0            0            0            0          294         0.58            1  
          0            0            0       0.1261     0.009575     0.005788     0.003787   -0.0038384      0.32707    -0.038079      0.36515     0.069695   -0.0081577   -0.0027109   -0.0054469       13.169       4.6765       2.8161       88.493      -89.693       2946.5       88.493      -89.693       2946.5            0            0            0       24.928       1.8781           25       4.3423      -814.29       1161.7       95.312      0.10985     -0.24611     0.025619            0       5416.8    0.0070803      0.40094     0.013852            0            0            0            0            0            0            0            0            0          294         0.58            1  
